titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster_trends
盾の勇者の成り上がり Season 3,Tate no Yuusha no Nariagari Season 3,The Rising of the Shield Hero Season 3,2023-10-06,2023,FALL 2023,2,12.0,Kinema Citrus,Action | Adventure | Fantasy,Unknown,TV,FINISHED,140806,70.0,71.0,0.0,12.0,1.0,0.0,4.0,3.4,True,1
怪獣８号 第２期,Kaijuu 8-gou 2nd Season,Kaiju No. 8 Season 2,2025-07-19,2025,SUMMER 2025,1,11.0,Production I.G,Action | Sci-Fi,Shounen,TV,FINISHED,140568,78.0,78.0,0.0,4.0,0.0,0.0,0.0,0.8,False,1
勇者刑に処す 懲罰勇者9004隊刑務記録,Yuusha Kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,Sentenced to Be a Hero,2026-01-03,2026,WINTER 2026,2,12.0,Studio KAI,Action | Drama | Fantasy,Seinen,TV,FINISHED,140364,81.0,81.0,2.0,2.0,2.0,2.0,2.0,2.0,False,1
異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta","I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",2023-04-04,2023,SPRING 2023,1,13.0,Millepensee,Action | Adventure | Fantasy | Romance,Unknown,TV,FINISHED,137344,63.0,63.0,1.0,5.0,2.0,0.0,2.0,2.0,False,1
東京リベンジャーズ 聖夜決戦編,Tokyo Revengers: Seiya Kessen-hen,Tokyo Revengers Season 2,2023-01-08,2023,WINTER 2023,2,13.0,LIDENFILMS,Action | Drama | Romance | Supernatural,Shounen,TV,FINISHED,135808,75.0,75.0,6.0,7.0,5.0,1.0,6.0,5.0,False,1
わたしの幸せな結婚,Watashi no Shiawase na Kekkon,My Happy Marriage,2023-07-05,2023,SUMMER 2023,1,12.0,Kinema Citrus,Drama | Romance | Supernatural,Shoujo,TV,FINISHED,133619,76.0,76.0,7.0,15.0,13.0,4.0,9.0,9.6,True,0
アオのハコ,Ao no Hako,Blue Box,2024-10-03,2024,FALL 2024,2,25.0,Telecom Animation Film,Romance | Slice of Life | Sports,Shounen,ONA,FINISHED,132227,81.0,81.0,23.0,13.0,43.0,18.0,38.0,27.0,True,2
ブルーロック VS. U-20 JAPAN,Blue Lock VS. U-20 JAPAN,BLUE LOCK Season 2,2024-10-05,2024,FALL 2024,2,14.0,8-bit,Action | Drama | Sports,Shounen,TV,FINISHED,129190,75.0,75.0,3.0,15.0,9.0,0.0,6.0,6.6,True,1
BLEACH 千年血戦篇-訣別譚-,BLEACH: Sennen Kessen-hen - Ketsubetsu-tan,BLEACH: Thousand-Year Blood War - The Separation,2023-07-08,2023,SUMMER 2023,2,13.0,Studio Pierrot,Action | Adventure | Supernatural,Shounen,TV,FINISHED,128846,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
ゆびさきと恋々,Yubisaki to Renren,A Sign of Affection,2024-01-06,2024,WINTER 2024,1,12.0,Ajiado,Romance | Slice of Life,Shoujo,TV,FINISHED,128743,82.0,82.0,9.0,15.0,12.0,4.0,17.0,11.4,True,0
Dr.STONE NEW WORLD 第2クール,Dr. STONE: NEW WORLD Part 2,Dr. STONE New World Part 2,2023-10-12,2023,FALL 2023,2,11.0,TMS Entertainment,Action | Adventure | Comedy | Sci-Fi,Shounen,TV,FINISHED,127310,83.0,83.0,0.0,1.0,0.0,0.0,1.0,0.4,False,1
光が死んだ夏,Hikaru ga Shinda Natsu,The Summer Hikaru Died,2025-07-06,2025,SUMMER 2025,2,12.0,CygamesPictures,Horror | Mystery | Psychological | Supernatural | Thriller,Seinen,TV,FINISHED,125173,80.0,81.0,4.0,10.0,9.0,2.0,6.0,6.2,False,1
タコピーの原罪,Takopii no Genzai,Takopi's Original Sin,2025-06-28,2025,SUMMER 2025,1,6.0,ENISHIYA,Drama | Psychological | Sci-Fi,Unknown,ONA,FINISHED,125142,86.0,86.0,3.0,6.0,5.0,3.0,3.0,4.0,False,1
スキップとローファー,Skip to Loafer,Skip and Loafer,2023-04-04,2023,SPRING 2023,2,12.0,P.A.WORKS,Comedy | Romance | Slice of Life,Seinen,TV,FINISHED,124720,81.0,81.0,11.0,20.0,11.0,2.0,14.0,11.6,True,0
アンデッドアンラック,Undead Unluck,Undead Unluck,2023-10-07,2023,FALL 2023,1,24.0,david production,Action | Comedy | Sci-Fi | Supernatural,Shounen,TV,FINISHED,123648,76.0,77.0,14.0,14.0,14.0,10.0,10.0,12.4,True,0
負けヒロインが多すぎる！,Make Heroine ga Oosugiru!,Makeine: Too Many Losing Heroines!,2024-07-14,2024,SUMMER 2024,2,12.0,A-1 Pictures,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,120377,81.0,81.0,2.0,5.0,1.0,0.0,2.0,2.0,False,1
Buddy Daddies,Buddy Daddies,Buddy Daddies,2023-01-07,2023,WINTER 2023,1,12.0,P.A.WORKS,Action | Comedy | Drama | Slice of Life,Unknown,TV,FINISHED,120077,80.0,80.0,7.0,10.0,8.0,5.0,7.0,7.4,False,0
炎炎ノ消防隊 参ノ章,Enen no Shouboutai: San no Shou,Fire Force Season 3,2025-04-05,2025,SPRING 2025,2,12.0,david production,Action | Drama | Sci-Fi | Supernatural,Shounen,TV,FINISHED,119522,78.0,78.0,2.0,11.0,7.0,1.0,5.0,5.2,True,1
君のことが大大大大大好きな100人の彼女,Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You",2023-10-08,2023,FALL 2023,2,12.0,Bibury Animation Studios,Comedy | Ecchi | Romance,Seinen,TV,FINISHED,118779,76.0,76.0,1.0,13.0,1.0,0.0,4.0,3.8,True,1
SPY×FAMILY Season 3,SPY×FAMILY Season 3,SPY x FAMILY Season 3,2025-10-04,2025,FALL 2025,1,13.0,WIT STUDIO | CloverWorks,Action | Comedy | Slice of Life | Supernatural,Shounen,TV,FINISHED,118444,82.0,82.0,2.0,19.0,15.0,0.0,5.0,8.2,True,0
この素晴らしい世界に爆焔を！,Kono Subarashii Sekai ni Bakuen wo!,KONOSUBA -An Explosion on This Wonderful World!,2023-04-06,2023,SPRING 2023,1,12.0,Drive,Adventure | Comedy | Fantasy,Seinen,TV,FINISHED,116966,74.0,74.0,0.0,2.0,0.0,0.0,0.0,0.4,False,1
神之塔 -Tower of God- 第2期,Kami no Tou: Tower of God 2nd Season,Tower of God Season 2,2024-07-07,2024,SUMMER 2024,1,26.0,The Answer Studio,Action | Adventure | Drama | Fantasy | Mystery,Unknown,TV,FINISHED,116391,66.0,66.0,1.0,8.0,7.0,0.0,5.0,4.2,False,1
NieR:Automata Ver1.1a,NieR:Automata Ver1.1a,NieR:Automata Ver1.1a,2023-01-08,2023,WINTER 2023,2,12.0,A-1 Pictures,Action | Drama | Fantasy | Mystery | Psychological | Sci-Fi,Unknown,TV,FINISHED,115966,73.0,73.0,3.0,4.0,0.0,0.0,0.0,1.4,False,1
治癒魔法の間違った使い方,Chiyu Mahou no Machigatta Tsukaikata,The Wrong Way to Use Healing Magic,2024-01-06,2024,WINTER 2024,2,13.0,Shin-Ei Animation | Studio Add,Action | Fantasy,Unknown,TV,FINISHED,115438,75.0,75.0,5.0,18.0,8.0,0.0,12.0,8.6,True,0
僕のヒーローアカデミア FINAL SEASON,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,2025-10-04,2025,FALL 2025,1,11.0,bones film,Action | Adventure,Shounen,TV,FINISHED,115416,87.0,87.0,0.0,9.0,3.0,0.0,2.0,2.8,False,1
凸变英雄X,Tu Bian Yingxiong X,To Be Hero X,2025-04-06,2025,,1,24.0,Paper Plane Animation Studio | Studio LAN | Pb Animation,Action | Drama | Mystery | Supernatural,Unknown,ONA,FINISHED,114915,85.0,85.0,7.0,11.0,9.0,5.0,9.0,8.2,True,0
ゴブリンスレイヤーⅡ,Goblin Slayer II,GOBLIN SLAYER II,2023-10-06,2023,FALL 2023,1,12.0,LIDENFILMS,Action | Adventure | Fantasy,Unknown,TV,FINISHED,113072,71.0,71.0,0.0,0.0,0.0,1.0,1.0,0.4,False,1
チ。-地球の運動について-,Chi. Chikyuu no Undou ni Tsuite,Orb: On the Movements of the Earth,2024-10-05,2024,FALL 2024,1,25.0,MADHOUSE,Drama,Seinen,TV,FINISHED,110996,86.0,86.0,1.0,15.0,5.0,0.0,2.0,4.6,True,1
とんでもスキルで異世界放浪メシ,Tondemo Skill de Isekai Hourou Meshi,Campfire Cooking in Another World with my Absurd Skill,2023-01-10,2023,WINTER 2023,2,12.0,MAPPA,Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,109704,76.0,76.0,3.0,20.0,4.0,2.0,13.0,8.4,True,0
月が導く異世界道中 第二幕,Tsuki ga Michibiku Isekai Douchuu 2nd Season,TSUKIMICHI -Moonlit Fantasy- Season 2,2024-01-08,2024,WINTER 2024,2,25.0,J.C.STAFF,Action | Adventure | Comedy | Fantasy,Shounen,TV,FINISHED,109469,78.0,78.0,0.0,1.0,0.0,0.0,0.0,0.2,False,1
ラザロ,Lazarus,LAZARUS,2025-04-06,2025,SPRING 2025,1,13.0,MAPPA,Action | Sci-Fi | Thriller,Unknown,TV,FINISHED,106376,70.0,70.0,18.0,34.0,30.0,13.0,8.0,20.6,True,0
魔都精兵のスレイブ,Mato Seihei no Slave,Chained Soldier,2024-01-04,2024,WINTER 2024,2,12.0,Seven Arcs,Action | Adventure | Drama | Ecchi | Fantasy | Romance,Shounen,TV,FINISHED,104886,67.0,67.0,15.0,24.0,16.0,4.0,15.0,14.8,True,0
文豪ストレイドッグス 第4シーズン,Bungou Stray Dogs 4th Season,Bungo Stray Dogs 4,2023-01-04,2023,WINTER 2023,2,13.0,bones,Action | Comedy | Mystery | Supernatural,Seinen,TV,FINISHED,104282,84.0,84.0,0.0,4.0,0.0,0.0,4.0,1.6,False,1
ラグナクリムゾン,Ragna Crimson,Ragna Crimson,2023-10-01,2023,FALL 2023,1,24.0,SILVER LINK.,Action | Adventure | Fantasy | Mystery,Shounen,TV,FINISHED,104116,74.0,74.0,18.0,14.0,12.0,11.0,12.0,13.4,True,0
君は放課後インソムニア,Kimi wa Houkago Insomnia,Insomniacs After School,2023-04-11,2023,SPRING 2023,1,13.0,LIDENFILMS,Romance | Slice of Life,Seinen,TV,FINISHED,102530,80.0,80.0,3.0,23.0,5.0,0.0,6.0,7.4,True,0
BLEACH 千年血戦篇-相剋譚-,BLEACH: Sennen Kessen-hen - Soukoku-tan,BLEACH: Thousand-Year Blood War - The Conflict,2024-10-05,2024,FALL 2024,2,14.0,PIERROT FILMS,Action | Adventure | Supernatural,Shounen,TV,FINISHED,102490,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
しかのこのこのここしたんたん,Shikanoko Nokonoko Koshitantan,My Deer Friend Nokotan,2024-07-03,2024,SUMMER 2024,1,12.0,WIT STUDIO,Comedy | Fantasy | Slice of Life,Shounen,ONA,FINISHED,101736,67.0,67.0,2.0,5.0,3.0,1.0,3.0,2.8,False,1
シャングリラ・フロンティア 2nd season,Shangri-La Frontier 2nd Season,Shangri-La Frontier Season 2,2024-10-13,2024,FALL 2024,2,25.0,C2C,Action | Adventure | Comedy | Fantasy | Sci-Fi,Shounen,TV,FINISHED,101221,82.0,82.0,0.0,9.0,1.0,0.0,0.0,2.0,False,1
诡秘之主,Guimi Zhi Zhu,Lord of Mysteries,2025-06-28,2025,,2,13.0,B.CMAY PICTURES,Action | Drama | Fantasy | Mystery | Supernatural | Thriller,Unknown,ONA,FINISHED,100722,84.0,85.0,7.0,9.0,9.0,6.0,10.0,8.2,False,0
異世界のんびり農家,Isekai Nonbiri Nouka,Farming Life in Another World,2023-01-06,2023,WINTER 2023,2,12.0,Zero-G,Fantasy | Slice of Life,Unknown,TV,FINISHED,100660,74.0,74.0,4.0,29.0,15.0,1.0,11.0,12.0,True,0
PLUTO,PLUTO,PLUTO,2023-10-26,2023,FALL 2023,1,8.0,Studio M2,Action | Drama | Mecha | Mystery | Psychological | Sci-Fi | Thriller,Seinen,ONA,FINISHED,97532,84.0,84.0,32.0,54.0,48.0,46.0,49.0,45.8,True,2
Re:ゼロから始める異世界生活 4th season,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,Re:ZERO -Starting Life in Another World- Season 4,2026-04-08,2026,SPRING 2026,1,19.0,WHITE FOX,Action | Adventure | Drama | Fantasy | Psychological | Romance,Unknown,TV,RELEASING,97110,87.0,87.0,1.0,0.0,0.0,0.0,1.0,0.4,False,1
イジらないで、長瀞さん 2nd Attack,"Ijiranaide, Nagatoro-san 2nd Attack","DON'T TOY WITH ME, MISS NAGATORO 2nd Attack",2023-01-08,2023,WINTER 2023,1,12.0,OLM,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,96988,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
【推しの子】第3期,[Oshi no Ko] 3rd Season,【OSHI NO KO】Season 3,2026-01-14,2026,WINTER 2026,2,11.0,Doga Kobo,Drama | Mystery | Psychological | Supernatural,Seinen,TV,FINISHED,95839,86.0,86.0,0.0,0.0,1.0,1.0,0.0,0.4,False,1
僕の心のヤバイやつ 第2期,Boku no Kokoro no Yabai Yatsu 2nd Season,The Dangers in My Heart Season 2,2024-01-07,2024,WINTER 2024,2,13.0,Shin-Ei Animation,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,95769,86.0,86.0,0.0,8.0,0.0,0.0,0.0,1.6,False,1
転生したら第七王子だったので、気ままに魔術を極めます,"Tensei Shitara Dai Nana Ouji Datta node, Kimamani Majutsu wo Kiwamemasu",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,2024-04-02,2024,SPRING 2024,2,12.0,Tsumugi Akita Anime Lab,Action | Adventure | Fantasy,Unknown,TV,FINISHED,94307,73.0,73.0,1.0,10.0,1.0,0.0,4.0,3.2,False,1
狼と香辛料 MERCHANT MEETS THE WISE WOLF,Ookami to Koushinryou: MERCHANT MEETS THE WISE WOLF,Spice and Wolf: MERCHANT MEETS THE WISE WOLF,2024-04-02,2024,SPRING 2024,2,25.0,Passione,Adventure | Fantasy | Romance | Slice of Life,Seinen,TV,FINISHED,94063,79.0,79.0,0.0,4.0,1.0,0.0,1.0,1.2,False,1
黄泉のツガイ,Yomi no Tsugai,Daemons of the Shadow Realm,2026-04-04,2026,SPRING 2026,1,24.0,bones film,Action | Adventure | Comedy | Fantasy,Shounen,TV,RELEASING,93925,78.0,78.0,1.0,2.0,2.0,1.0,2.0,1.6,False,1
デッドマウント・デスプレイ,Dead Mount Death Play,Dead Mount Death Play,2023-04-11,2023,SPRING 2023,2,12.0,GEEKTOYS,Action | Fantasy | Supernatural | Thriller,Seinen,TV,FINISHED,93443,72.0,72.0,5.0,9.0,6.0,4.0,6.0,6.0,False,1
